,videoId,channelTitle,publishedAt,channelId,title,description,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
73,UAj00wa3QtQ,オーイシ加藤のピザラジオ,2019-09-24T09:01:35Z,UCeWZN7rNRQaHCtMCdHEZFqw,【ボードゲーム】論理で戦うハードな頭脳戦ゲーム！【TAGIRON】,TAGIRON（タギロン） https://www.gentosha-edu.co.jp/book/b377226.html 赤と青の「0」～「9」(「5」のみ黄色)の数字タイルが各1枚あり、 この前提をヒントに「5はどこ?,204993,1911,56,0,372
74,1FAMD7F2JQ0,まえちゃんねる MAECHANNEL,2018-11-28T08:00:01Z,UC02K-De6oOKX0fQeqIKID3Q,すごいボードゲームキター ♪-(≧∇≦)-♪ ドラえもん 立体！地球大探検ゲーム | まえちゃんねる,提供：株式会社バンダイ ドラえもん立体地球大探検ゲームの詳細はこちら！ https://www.asovision.com/doraemon/daitankengame/ ...,201858,916,115,0,
75,cVvbw6cqh8A,HIMAWARIちゃんねる,2020-10-16T08:00:18Z,UCJ98lzh2QJGp37QgWPUcwrQ,最強効果音！数値を予測せよ！超難関！テレパシーゲーム！？家族で協力してゲームクリアを目指す！ito(イト)ボードゲームhimawari-CH,ボードゲーム #ひまわりチャンネル #まーちゃんおーちゃん 新曲『SUNSUN サマー！』のDLはこちら♡ https://big-up.style/3m13v0X3l8 【HIMAWARIちゃんねるオリジナル ...,209120,1598,133,0,
76,1VedsaOvg0E,[仮]かりむぎラジオ,2020-03-05T12:00:00Z,UCeMQ9SIvHvsR5_W7-arcgHA,[華凛×はとむぎ コラボASMR]ブロックスで対戦！ボードゲームで遊ぶ[囁き声],華凛とはとむぎのコラボ動画✨ 今回は2人でブロックスというボードゲームで遊びました♪ 囁き声で話しながら対戦しています！ 左耳：華凛 ...,191869,3192,57,0,387
77,FXZNtTHjBpg,ゴージャス動画,2016-12-11T03:00:00Z,UCXCknrYDQ2VlVxBnRWBnEFg,【Quoridor/コリドール】フランス生まれのボードゲームで対決【おもちゃ オススメ 紹介】,チャンネル登録よろしくおねがいします ! 【 http://goo.gl/B7XkyL 】 --------------------------------- 再生リスト【 https://goo.gl/SReZKx 】 --------------------------------- いつも遊んで ...,186862,783,99,0,85
78,qtNbHqgeIhw,オーイシ加藤のピザラジオ,2020-02-04T09:25:50Z,UCeWZN7rNRQaHCtMCdHEZFqw,【ボードゲーム】永遠に終わらないワード当てゲーム【アテッコ #2】,アテッコ #1 https://youtu.be/giUch-ZI_Mw JELLY JELLY CAFE - 世界中のボードゲームで遊べるカフェ https://jellyjellycafe.com/ 「オーイシ✕加藤のピザラジオ」とは・・ ...,190573,2218,58,0,744
79,81u6WFdMi20,NewGameTV,2019-07-10T10:27:49Z,UCrAMtfaEZkSbVjAKQj_2QXQ,QuizKnockとボードゲームを共同開発！第1回「全力!!卒業式かるた 難関校編」,QuizKnockのみなさんと一緒にボードゲームを開発する企画が始まりました！ ゲームのテーマは、本企画のスポンサーであるデカビタCのブランドメッセージ「全力！」です。,183410,4429,55,0,339
80,LaD6YGhbe8w,オーイシ加藤のピザラジオ,2019-06-28T09:04:53Z,UCeWZN7rNRQaHCtMCdHEZFqw,【ボードゲーム】カードを天高く積み上げろ！【キャプテン・リノ】,ボードゲーム店 すごろくや https://sugorokuya.jp/ 「オーイシ✕加藤のピザラジオ」とは・・ アニソンシンガーのオーイシマサヨシとYouTuberの加藤純一が とにかくいろいろやっ ...,176408,1645,60,0,195
81,MLClJEF7Wts,オーイシ加藤のピザラジオ,2020-09-04T09:15:15Z,UCeWZN7rNRQaHCtMCdHEZFqw,【ボードゲーム】正体を隠して仲間を裏切る疑心暗鬼ゲーム【ニャーメンズ】,提供：ニャーメンズ ▽ニャーメンズで遊んでみたい人はコチラ https://amzn.to/34Y645c ▽簡単なルール説明はコチラ https://nya-mens.com/smallrule/ ▽ニャーメンズ ...,173189,2240,2087,0,1116
82,GnqK04l9PIc,オモコロチャンネル,2020-07-31T09:00:05Z,UCOx-oLP9tOhiYwSK_m-yVxA,【発売】本当にオモコロがボードゲームを作りました！共感性ゲーム『勇者ヌルポコ』！,オモコロが作ったカードゲーム「ファンタジー命名カードゲーム『勇者ヌルポコ』」 2020年7月31日の19:00、オモコロストアにて発売！ ↓購入はこちらから↓ ...,170657,4544,36,0,598
83,yU0VprPjGt0,水溜りボンドの日常,2019-08-28T13:01:52Z,UCaTFX7ckdowpnwHWcJGH2KQ,【世界で1番面白いボードゲーム】トミー、２４時間猛練習してカンタに挑む！,少しでも面白いと思って頂けたら 是非【チャンネル登録】【高評価】お願いします！ 毎日22時頃カンタとトミーの日常風景をお届けします。 新しい水溜りボンドのグッズは ...,168508,4834,58,0,578
84,PjrtMCDWF_Q,オーイシ加藤のピザラジオ,2019-10-18T09:01:18Z,UCeWZN7rNRQaHCtMCdHEZFqw,【ボードゲーム】連想ゲームで大激論！【コードネーム:デュエット #1】,コードネーム:デュエット #2 https://youtu.be/75LzMWcxvk4 ※キーカードの設置方法にミスがあり、1回戦目の緑の正解ワードが 合計15枚→14枚になっていました・・ 失礼 ...,165821,1174,52,0,263
85,PjrtMCDWF_Q,オーイシ加藤のピザラジオ,2019-10-18T09:01:18Z,UCeWZN7rNRQaHCtMCdHEZFqw,【ボードゲーム】連想ゲームで大激論！【コードネーム:デュエット #1】,コードネーム:デュエット #2 https://youtu.be/75LzMWcxvk4 ※キーカードの設置方法にミスがあり、1回戦目の緑の正解ワードが 合計15枚→14枚になっていました・・ 失礼 ...,165821,1174,52,0,263
86,J8FMGuy-uek,オーイシ加藤のピザラジオ,2019-07-19T12:20:47Z,UCeWZN7rNRQaHCtMCdHEZFqw,【ボードゲーム】オーイシ加藤の隠された性癖が明らかに！？【かたろーぐ #1】,2 ギリギリすぎる質問で2人の本性が暴かれる！ https://youtu.be/3RfYXRrPSII ボードゲーム店 すごろくや https://sugorokuya.jp/ 「オーイシ✕加藤のピザラジオ」とは・・ ...,164100,1713,63,0,279
87,1o2su4hfVJ8,サンサンキッズTV ・ SUNSUN KIDS TV,2020-02-07T07:30:01Z,UCShFhaDUub-4RZefXJwjQug,アナ雪2 すごろくボードゲーム対決 第二弾！強敵ノックを倒せ！エルサ 物語 Disney Frozen2 子供・家族向け知育遊び★サンサンキッズTV★,公式LINEはこちら！ https://bit.ly/2vu7R2g ◇公式グッズショップできた！ https://sunsunkidstv.thebase.in/ ◇Twitterもフォローよろしくおねがいします❤︎ ...,156520,1230,153,0,0
88,aMapeoBADCQ,NewGameTV,2019-07-12T10:00:07Z,UCrAMtfaEZkSbVjAKQj_2QXQ,QuizKnockとボードゲームを共同開発！第2回「全力!!ベン図ゲーム」,QuizKnockのみなさんと一緒にボードゲームを開発する企画、第2回は「全力!!ベン図ゲーム」です。 本企画のスポンサーであるデカビタCのブランドメッセージ「全力！」を元に ...,151942,3525,39,0,192
89,7q6tXgKGGLk,バンダイ公式チャンネル,2012-10-19T08:41:28Z,UCtvh0wC06tV2EeRBk1OfUhg,２WAYボードゲーム　逃走中＆戦闘中　逃走中遊び方PV,大人気の２番組が１つのボードゲームになった！ 表と裏、リバーシブルで２倍楽しめるボードゲーム！ 表面、逃走中の遊び方を簡単に説明！,151676,84,22,0,
90,OxBumDAVfxo,KuronekoNoa121,2020-09-30T13:38:12Z,UCi6qmndZWotsFhKthPqCfpQ,【実写ライブ】T&amp;K&amp;P&amp;Sのワイワイするボードゲーム的なやつ【雑談】,T&K放送局から３つのお願い！ ・なるべくコメント内での会話は控えてね ・関係ない方のお名前は出さないでね ・荒らしなどは注意せずスルーしてね みんなが楽しめる放送 ...,147502,5843,28,0,219
91,KcBzExBC1xA,オーイシ加藤のピザラジオ,2019-10-04T09:01:33Z,UCeWZN7rNRQaHCtMCdHEZFqw,【ボードゲーム】グラグラバランスゲームで神技連発！【スティックスタック】,スティックスタック (STICK STACK) 袋から引いたスティックの色を合わせてタワーの上に置こう。 だけどタワーは、グラグラ揺れて不安定。 タワーが倒れたらラウンド終了。,145246,1142,35,0,257
